n,Ko,E,T,K
3,1690280103365.52,240,923,0.0441905986903875
3,1925541867244.98,241,923,0.0441905986903875
3,1925541867244.98,241,923,0.0441905986903875
3,2193548557502.9,242,923,0.0441905986903875
3,2498857779190.97,243,923,0.0441905986903875
3,2846661487964.34,244,923,0.0441905986903875
3,3242874282218.24,245,923,0.0441905986903875
3,3694233984172.32,246,923,0.0441905986903875
3,4208416220340.96,247,923,0.0441905986903875
3,4794164949894.71,248,923,0.0441905986903875
3,5461441160621.88,249,923,0.0441905986903875
3,6221592261148.63,250,923,0.0441905986903875
4,1523572890642.43,240,923,0.0398322136383651
4,1735631498525.1,241,923,0.0398322136383651
4,1977205499765.92,242,923,0.0398322136383651
4,2252402996619.2,243,923,0.0398322136383651
4,2565903877861.85,244,923,0.0398322136383651
4,2923039402943.74,245,923,0.0398322136383651
4,3329882863064.01,246,923,0.0398322136383651
4,3793352860916.22,247,923,0.0398322136383651
4,4321330965432.4,248,923,0.0398322136383651
4,4922795742311.86,249,923,0.0398322136383651
4,5607975439599.05,250,923,0.0398322136383651
6,27230294564607500,240,923,711.907462514448
6,31020345170700000,241,923,711.907462514448
6,35337914256721800,242,923,711.907462514448
6,40256424522152900,243,923,711.907462514448
6,45859518010447800,244,923,711.907462514448
6,52242478489198000,245,923,711.907462514448
6,59513851804384600,246,923,711.907462514448
6,67797291763763300,247,923,711.907462514448
6,77233662939661700,248,923,711.907462514448
6,87983436150550000,249,923,711.907462514448
6,100229417357889000,250,923,711.907462514448
5,2602321708779470,240,923,68.0349689184554
5,2964526052408820,241,923,68.0349689184554
5,3377143834969020,242,923,68.0349689184554
5,3847191854766140,243,923,68.0349689184554
5,4382663543708590,244,923,68.0349689184554
5,4992664900128820,245,923,68.0349689184554
5,5687569341425030,246,923,68.0349689184554
5,6479194109879810,247,923,68.0349689184554
5,7381001231535350,248,923,68.0349689184554
5,8408326445545710,249,923,68.0349689184554
5,9578639997077570,250,923,68.0349689184554
7,4.65E+16,240,9.23E+02,1.22E+03
7,5.30E+16,241,9.23E+02,1.22E+03
7,6.04E+16,242,9.23E+02,1.22E+03
7,6.88E+16,243,9.23E+02,1.22E+03
7,7.84E+16,244,9.23E+02,1.22E+03
7,8.93E+16,245,9.23E+02,1.22E+03
7,1.02E+17,246,9.23E+02,1.22E+03
7,1.16E+17,247,9.23E+02,1.22E+03
7,1.32E+17,248,9.23E+02,1.22E+03
7,1.50E+17,249,9.23E+02,1.22E+03
7,1.71E+17,250,9.23E+02,1.22E+03
7,5.31E+16,240,9.23E+02,1.39E+03
6,19395336324127000,240,923,507.070705179593
5,2377600629601980,240,923,62.1598722362957
4,1523572890642.43,240,923,0.0398322136383651
3,1690280103365.52,240,923,0.0441905986903875
7,6.05E+16,241,9.23E+02,1.39E+03
6,22094877675624900,241,923,507.070705179593
5,2708527152849410,241,923,62.1598722362957
4,1735631498525.1,241,923,0.0398322136383651
3,1925541867244.98,241,923,0.0441905986903875
7,6.90E+16,242,9.23E+02,1.39E+03
6,25170154894068500,242,923,507.070705179593
5,3085513709234950,242,923,62.1598722362957
4,1977205499765.92,242,923,0.0398322136383651
3,2193548557502.9,242,923,0.0441905986903875
7,7.86E+16,243,9.23E+02,1.39E+03
6,28673464804483400,243,923,507.070705179593
5,3514971167950530,243,923,62.1598722362957
4,2252402996619.2,243,923,0.0398322136383651
3,2498857779190.97,243,923,0.0441905986903875
7,8.95E+16,244,9.23E+02,1.39E+03
6,32664383169437700,244,923,507.070705179593
5,4004202695500870,244,923,62.1598722362957
4,2565903877861.85,244,923,0.0398322136383651
3,2846661487964.34,244,923,0.0441905986903875
7,1.02E+17,245,9.23E+02,1.39E+03
6,37210777808512900,245,923,507.070705179593
5,4561527950172410,245,923,62.1598722362957
4,2923039402943.74,245,923,0.0398322136383651
3,3242874282218.24,245,923,0.0441905986903875
7,1.16E+17,246,9.23E+02,1.39E+03
6,42389962728885700,246,923,507.070705179593
5,5196424562518620,246,923,62.1598722362957
4,3329882863064.01,246,923,0.0398322136383651
3,3694233984172.32,246,923,0.0441905986903875
7,1.32E+17,247,9.23E+02,1.39E+03
6,48290012893663700,247,923,507.070705179593
5,5919689307817680,247,923,62.1598722362957
4,3793352860916.22,247,923,0.0398322136383651
3,4208416220340.96,247,923,0.0441905986903875
7,1.51E+17,248,9.23E+02,1.39E+03
6,55011261986346300,248,923,507.070705179593
5,6743621711330310,248,923,62.1598722362957
4,4321330965432.4,248,923,0.0398322136383651
3,4794164949894.71,248,923,0.0441905986903875
7,1.72E+17,249,9.23E+02,1.39E+03
6,62668008641751900,249,923,507.070705179593
5,7682233208669970,249,923,62.1598722362957
4,4922795742311.86,249,923,0.0398322136383651
3,5461441160621.88,249,923,0.0441905986903875
7,1.96E+17,250,9.23E+02,1.39E+03
6,71390460158820500,250,923,507.070705179593
5,8751485418174440,250,923,62.1598722362957
4,5607975439599.05,250,923,0.0398322136383651
3,6221592261148.63,250,923,0.0441905986903875
7,6.00E+16,240,9.23E+02,1.57E+03
6,7.27E+16,240,9.23E+02,1.90E+03
5,9538994400434200,240,923,249.386993682363
4,1523572890642.43,240,923,0.0398322136383651
3,1690280103365.52,240,923,0.0441905986903875
7,6.83E+16,241,9.23E+02,1.57E+03
6,8.28E+16,241,9.23E+02,1.90E+03
5,10866680056683700,241,923,249.386993682363
4,1735631498525.1,241,923,0.0398322136383651
3,1925541867244.98,241,923,0.0441905986903875
7,7.78E+16,242,9.23E+02,1.57E+03
6,9.43E+16,242,9.23E+02,1.90E+03
5,12379159741298700,242,923,249.386993682363
4,1977205499765.92,242,923,0.0398322136383651
3,2193548557502.9,242,923,0.0441905986903875
7,8.86E+16,243,9.23E+02,1.57E+03
6,1.07E+17,243,9.23E+02,1.90E+03
5,14102154025077300,243,923,249.386993682363
4,2252402996619.2,243,923,0.0398322136383651
3,2498857779190.97,243,923,0.0441905986903875
7,1.01E+17,244,9.23E+02,1.57E+03
6,1.22E+17,244,9.23E+02,1.90E+03
5,16064963398407500,244,923,249.386993682363
4,2565903877861.85,244,923,0.0398322136383651
3,2846661487964.34,244,923,0.0441905986903875
7,1.15E+17,245,9.23E+02,1.57E+03
6,1.39E+17,245,9.23E+02,1.90E+03
5,18300966542645600,245,923,249.386993682363
4,2923039402943.74,245,923,0.0398322136383651
3,3242874282218.24,245,923,0.0441905986903875
7,1.31E+17,246,9.23E+02,1.57E+03
6,1.59E+17,246,9.23E+02,1.90E+03
5,20848187953433500,246,923,249.386993682363
4,3329882863064.01,246,923,0.0398322136383651
3,3694233984172.32,246,923,0.0441905986903875
7,1.49E+17,247,9.23E+02,1.57E+03
6,1.81E+17,247,9.23E+02,1.90E+03
5,23749944568712600,247,923,249.386993682363
4,3793352860916.22,247,923,0.0398322136383651
3,4208416220340.96,247,923,0.0441905986903875
7,1.70E+17,248,9.23E+02,1.57E+03
6,2.06E+17,248,9.23E+02,1.90E+03
5,27055582397702800,248,923,249.386993682363
4,4321330965432.4,248,923,0.0398322136383651
3,4794164949894.71,248,923,0.0441905986903875
7,1.94E+17,249,9.23E+02,1.57E+03
6,2.35E+17,249,9.23E+02,1.90E+03
5,30821315677646100,249,923,249.386993682363
4,4922795742311.86,249,923,0.0398322136383651
3,5461441160621.88,249,923,0.0441905986903875
7,2.21E+17,250,9.23E+02,1.57E+03
6,2.67E+17,250,9.23E+02,1.90E+03
5,35111182828641300,250,923,249.386993682363
4,5607975439599.05,250,923,0.0398322136383651
3,6221592261148.63,250,923,0.0441905986903875
7,5.25E+16,240,9.23E+02,1.37E+03
6,21024901727275000,240,923,549.673981776691
5,2584411624298220,240,923,67.5667285633533
4,1523572890642.43,240,923,0.0398322136383651
3,1690280103365.52,240,923,0.0441905986903875
7,5.98E+16,241,9.23E+02,1.37E+03
6,23951254262515900,241,923,549.673981776691
5,2944123151466020,241,923,67.5667285633533
4,1735631498525.1,241,923,0.0398322136383651
3,1925541867244.98,241,923,0.0441905986903875
7,6.81E+16,242,9.23E+02,1.37E+03
6,27284911396446200,242,923,549.673981776691
5,3353901154717160,242,923,67.5667285633533
4,1977205499765.92,242,923,0.0398322136383651
3,2193548557502.9,242,923,0.0441905986903875
7,7.76E+16,243,9.23E+02,1.37E+03
6,31082563850404300,243,923,549.673981776691
5,3820714140307560,243,923,67.5667285633533
4,2252402996619.2,243,923,0.0398322136383651
3,2498857779190.97,243,923,0.0441905986903875
7,8.84E+16,244,9.23E+02,1.37E+03
6,35408792848060800,244,923,549.673981776691
5,4352500526562830,244,923,67.5667285633533
4,2565903877861.85,244,923,0.0398322136383651
3,2846661487964.34,244,923,0.0441905986903875
7,1.01E+17,245,9.23E+02,1.37E+03
6,40337168355582200,245,923,549.673981776691
5,4958303641162950,245,923,67.5667285633533
4,2923039402943.74,245,923,0.0398322136383651
3,3242874282218.24,245,923,0.0441905986903875
7,1.15E+17,246,9.23E+02,1.37E+03
6,45951500180432600,246,923,549.673981776691
5,5648425508034170,246,923,67.5667285633533
4,3329882863064.01,246,923,0.0398322136383651
3,3694233984172.32,246,923,0.0441905986903875
7,1.31E+17,247,9.23E+02,1.37E+03
6,52347263204461100,247,923,549.673981776691
5,6434602039081300,247,923,67.5667285633533
4,3793352860916.22,247,923,0.0398322136383651
3,4208416220340.96,247,923,0.0441905986903875
7,1.49E+17,248,9.23E+02,1.37E+03
6,59633220988157800,248,923,549.673981776691
5,7330202609994040,248,923,67.5667285633533
4,4321330965432.4,248,923,0.0398322136383651
3,4794164949894.71,248,923,0.0441905986903875
7,1.70E+17,249,9.23E+02,1.37E+03
6,67933275356397300,249,923,549.673981776691
5,8350457414027580,249,923,67.5667285633533
4,4922795742311.86,249,923,0.0398322136383651
3,5461441160621.88,249,923,0.0441905986903875
7,1.93E+17,250,9.23E+02,1.37E+03
6,77388573418909400,250,923,549.673981776691
5,9512716460035870,250,923,67.5667285633533
4,5607975439599.05,250,923,0.0398322136383651
3,6221592261148.63,250,923,0.0441905986903875
7,9.40E+16,240,9.23E+02,2.46E+03
6,3.33E+17,240,9.23E+02,8.70E+03
5,15739803688783300,240,923,411.500642344182
4,1523572890642.43,240,923,0.0398322136383651
3,1690280103365.52,240,923,0.0441905986903875
7,1.07E+17,241,9.23E+02,2.46E+03
6,3.79E+17,241,9.23E+02,8.70E+03
5,17930549454273000,241,923,411.500642344182
4,1735631498525.1,241,923,0.0398322136383651
3,1925541867244.98,241,923,0.0441905986903875
7,1.22E+17,242,9.23E+02,2.46E+03
6,4.32E+17,242,9.23E+02,8.70E+03
5,20426214334632700,242,923,411.500642344182
4,1977205499765.92,242,923,0.0398322136383651
3,2193548557502.9,242,923,0.0441905986903875
7,1.39E+17,243,9.23E+02,2.46E+03
6,4.92E+17,243,9.23E+02,8.70E+03
5,23269238519900800,243,923,411.500642344182
4,2252402996619.2,243,923,0.0398322136383651
3,2498857779190.97,243,923,0.0441905986903875
7,1.58E+17,244,9.23E+02,2.46E+03
6,5.60E+17,244,9.23E+02,8.70E+03
5,26507969241172100,244,923,411.500642344182
4,2565903877861.85,244,923,0.0398322136383651
3,2846661487964.34,244,923,0.0441905986903875
7,1.80E+17,245,9.23E+02,2.46E+03
6,6.39E+17,245,9.23E+02,8.70E+03
5,30197482942554200,245,923,411.500642344182
4,2923039402943.74,245,923,0.0398322136383651
3,3242874282218.24,245,923,0.0441905986903875
7,2.05E+17,246,9.23E+02,2.46E+03
6,7.27E+17,246,9.23E+02,8.70E+03
5,34400521887188000,246,923,411.500642344182
4,3329882863064.01,246,923,0.0398322136383651
3,3694233984172.32,246,923,0.0441905986903875
7,2.34E+17,247,9.23E+02,2.46E+03
6,8.29E+17,247,9.23E+02,8.70E+03
5,39188561124850300,247,923,411.500642344182
4,3793352860916.22,247,923,0.0398322136383651
3,4208416220340.96,247,923,0.0441905986903875
7,2.67E+17,248,9.23E+02,2.46E+03
6,9.44E+17,248,9.23E+02,8.70E+03
5,44643023965519700,248,923,411.500642344182
4,4321330965432.4,248,923,0.0398322136383651
3,4794164949894.71,248,923,0.0441905986903875
7,3.04E+17,249,9.23E+02,2.46E+03
6,1.08E+18,249,9.23E+02,8.70E+03
5,50856666628726200,249,923,411.500642344182
4,4922795742311.86,249,923,0.0398322136383651
3,5461441160621.88,249,923,0.0441905986903875
7,3.46E+17,250,9.23E+02,2.46E+03
6,1.23E+18,250,9.23E+02,8.70E+03
5,57935155615421700,250,923,411.500642344182
4,5607975439599.05,250,923,0.0398322136383651
3,6221592261148.63,250,923,0.0441905986903875
7,42510917635614700,240,923,1111.40330969708
6,121697001312016000,240,923,3181.64033055527
5,1278363487605240,240,923,33.4214712394274
4,1523572890642.43,240,923,0.0398322136383651
3,1690280103365.52,240,923,0.0441905986903875
7,48427802918222900,241,923,1111.40330969708
6,138635407633252000,241,923,3181.64033055527
5,1456292606201780,241,923,33.4214712394274
4,1735631498525.1,241,923,0.0398322136383651
3,1925541867244.98,241,923,0.0441905986903875
7,55168230325883300,242,923,1111.40330969708
6,157931387317924000,242,923,3181.64033055527
5,1658986802611880,242,923,33.4214712394274
4,1977205499765.92,242,923,0.0398322136383651
3,2193548557502.9,242,923,0.0441905986903875
7,62846824631485600,243,923,1111.40330969708
6,179913079392726000,243,923,3181.64033055527
5,1889893006061880,243,923,33.4214712394274
4,2252402996619.2,243,923,0.0398322136383651
3,2498857779190.97,243,923,0.0441905986903875
7,71594164665594000,244,923,1111.40330969708
6,204954294939569000,244,923,3181.64033055527
5,2152937906882920,244,923,33.4214712394274
4,2565903877861.85,244,923,0.0398322136383651
3,2846661487964.34,244,923,0.0441905986903875
7,81559003883169400,245,923,1111.40330969708
6,233480873964044000,245,923,3181.64033055527
5,2452594732096520,245,923,33.4214712394274
4,2923039402943.74,245,923,0.0398322136383651
3,3242874282218.24,245,923,0.0441905986903875
7,92910800000038200,246,923,1111.40330969708
6,265977927045085000,246,923,3181.64033055527
5,2793959315165090,246,923,33.4214712394274
4,3329882863064.01,246,923,0.0398322136383651
3,3694233984172.32,246,923,0.0441905986903875
7,105842596717008000,247,923,1111.40330969708
6,302998084914209000,247,923,3181.64033055527
5,3182836753516540,247,923,33.4214712394274
4,3793352860916.22,247,923,0.0398322136383651
3,4208416220340.96,247,923,0.0441905986903875
7,120574306536963000,248,923,1111.40330969708
6,345170896253040000,248,923,3181.64033055527
5,3625840127502740,248,923,33.4214712394274
4,4321330965432.4,248,923,0.0398322136383651
3,4794164949894.71,248,923,0.0441905986903875
7,137356450501119000,249,923,1111.40330969708
6,393213533524019000,249,923,3181.64033055527
5,4130502959563970,249,923,33.4214712394274
4,4922795742311.86,249,923,0.0398322136383651
3,5461441160621.88,249,923,0.0441905986903875
7,156474418440736000,250,923,1111.40330969708
6,447942988892949000,250,923,3181.64033055527
5,4705407326030500,250,923,33.4214712394274
4,5607975439599.05,250,923,0.0398322136383651
3,6221592261148.63,250,923,0.0441905986903875
7,1.65E+17,249.709999999987,9.23E+02,1.22E+03
6,96512343814826500,249.709999999987,923,711.907462514448
5,9223409863547740,249.709999999987,923,68.0349689184554
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,1.88E+17,249.709999999987,9.23E+02,1.39E+03
6,68742898218637800,249.709999999987,923,507.070705179593
5,8426930853577480,249.709999999987,923,62.1598722362957
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,2.12E+17,249.709999999987,9.23E+02,1.57E+03
6,2.58E+17,249.709999999987,9.23E+02,1.90E+03
5,33809061633104800,249.709999999987,923,249.386993682363
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,1.86E+17,249.709999999987,9.23E+02,1.37E+03
6,74518567522699700,249.709999999987,923,549.673981776691
5,9159931144024310,249.709999999987,923,67.5667285633533
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,3.33E+17,249.709999999987,9.23E+02,2.46E+03
6,1.18E+18,249.709999999987,9.23E+02,8.70E+03
5,55786592450753600,249.709999999987,923,411.500642344182
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,80059219544751100,244.857572887623,923,1111.40330969708
6,35445093399342900,230.533960514382,923,3181.64033055527
5,1205309095965620,239.548436327989,923,33.4214712394274
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
7,3.35E+17,249.709999999987,9.23E+02,2.47E+03
6,1.18E+18,249.709999999987,9.23E+02,8.70E+03
5,55799101557817200,249.709999999987,923,411.592913719179
4,5400000000000,249.71,923,0.0398322136383651
3,42300000000,211.699999999999,923,0.0441905986903875
3,1690280103365.52,240,953,0.105314110437751
3,1925541867244.98,241,953,0.105314110437751
3,1925541867244.98,241,953,0.105314110437751
3,2193548557502.9,242,953,0.105314110437751
3,2498857779190.97,243,953,0.105314110437751
3,2846661487964.34,244,953,0.105314110437751
3,3242874282218.24,245,953,0.105314110437751
3,3694233984172.32,246,953,0.105314110437751
3,4208416220340.96,247,953,0.105314110437751
3,4794164949894.71,248,953,0.105314110437751
3,5461441160621.88,249,953,0.105314110437751
3,6221592261148.63,250,953,0.105314110437751
4,1523572890642.43,240,953,189.498615456418
4,1735631498525.1,241,953,189.498615456418
4,1977205499765.92,242,953,189.498615456418
4,2252402996619.2,243,953,189.498615456418
4,2565903877861.85,244,953,189.498615456418
4,2923039402943.74,245,953,189.498615456418
4,3329882863064.01,246,953,189.498615456418
4,3793352860916.22,247,953,189.498615456418
4,4321330965432.4,248,953,189.498615456418
4,4922795742311.86,249,953,189.498615456418
4,5607975439599.05,250,953,189.498615456418
6,27230294564607500,240,953,1982.88439936341
6,31020345170700000,241,953,1982.88439936341
6,35337914256721800,242,953,1982.88439936341
6,40256424522152900,243,953,1982.88439936341
6,45859518010447800,244,953,1982.88439936341
6,52242478489198000,245,953,1982.88439936341
6,59513851804384600,246,953,1982.88439936341
6,67797291763763300,247,953,1982.88439936341
6,77233662939661700,248,953,1982.88439936341
6,87983436150550000,249,953,1982.88439936341
6,100229417357889000,250,953,1982.88439936341
5,2602321708779470,240,953,189.498615456418
5,2964526052408820,241,953,189.498615456418
5,3377143834969020,242,953,189.498615456418
5,3847191854766140,243,953,189.498615456418
5,4382663543708590,244,953,189.498615456418
5,4992664900128820,245,953,189.498615456418
5,5687569341425030,246,953,189.498615456418
5,6479194109879810,247,953,189.498615456418
5,7381001231535350,248,953,189.498615456418
5,8408326445545710,249,953,189.498615456418
5,9578639997077570,250,953,189.498615456418
7,4.65E+16,240,953,3.39E+03
7,5.30E+16,241,953,3.39E+03
7,6.04E+16,242,953,3.39E+03
7,6.88E+16,243,953,3.39E+03
7,7.84E+16,244,953,3.39E+03
7,8.93E+16,245,953,3.39E+03
7,1.02E+17,246,953,3.39E+03
7,1.16E+17,247,953,3.39E+03
7,1.32E+17,248,953,3.39E+03
7,1.50E+17,249,953,3.39E+03
7,1.71E+17,250,953,3.39E+03
7,5.31E+16,240,953,3.87E+03
6,19395336324127000,240,953,1412.35012079174
5,2377600629601980,240,953,173.134638157093
4,1523572890642.43,240,953,0.110945142696865
3,1690280103365.52,240,953,0.105314110437751
7,6.05E+16,241,953,3.87E+03
6,22094877675624900,241,953,1412.35012079174
5,2708527152849410,241,953,173.134638157093
4,1735631498525.1,241,953,0.110945142696865
3,1925541867244.98,241,953,0.105314110437751
7,6.90E+16,242,953,3.87E+03
6,25170154894068500,242,953,1412.35012079174
5,3085513709234950,242,953,173.134638157093
4,1977205499765.92,242,953,0.110945142696865
3,2193548557502.9,242,953,0.105314110437751
7,7.86E+16,243,953,3.87E+03
6,28673464804483400,243,953,1412.35012079174
5,3514971167950530,243,953,173.134638157093
4,2252402996619.2,243,953,0.110945142696865
3,2498857779190.97,243,953,0.105314110437751
7,8.95E+16,244,953,3.87E+03
6,32664383169437700,244,953,1412.35012079174
5,4004202695500870,244,953,173.134638157093
4,2565903877861.85,244,953,0.110945142696865
3,2846661487964.34,244,953,0.105314110437751
7,1.02E+17,245,953,3.87E+03
6,37210777808512900,245,953,1412.35012079174
5,4561527950172410,245,953,173.134638157093
4,2923039402943.74,245,953,0.110945142696865
3,3242874282218.24,245,953,0.105314110437751
7,1.16E+17,246,953,3.87E+03
6,42389962728885700,246,953,1412.35012079174
5,5196424562518620,246,953,173.134638157093
4,3329882863064.01,246,953,0.110945142696865
3,3694233984172.32,246,953,0.105314110437751
7,1.32E+17,247,953,3.87E+03
6,48290012893663700,247,953,1412.35012079174
5,5919689307817680,247,953,173.134638157093
4,3793352860916.22,247,953,0.110945142696865
3,4208416220340.96,247,953,0.105314110437751
7,1.51E+17,248,953,3.87E+03
6,55011261986346300,248,953,1412.35012079174
5,6743621711330310,248,953,173.134638157093
4,4321330965432.4,248,953,0.110945142696865
3,4794164949894.71,248,953,0.105314110437751
7,1.72E+17,249,953,3.87E+03
6,62668008641751900,249,953,1412.35012079174
5,7682233208669970,249,953,173.134638157093
4,4922795742311.86,249,953,0.110945142696865
3,5461441160621.88,249,953,0.105314110437751
7,1.96E+17,250,953,3.87E+03
6,71390460158820500,250,953,1412.35012079174
5,8751485418174440,250,953,173.134638157093
4,5607975439599.05,250,953,0.110945142696865
3,6221592261148.63,250,953,0.105314110437751
7,6.00E+16,240,953,4.37E+03
6,7.27E+16,240,953,5.29E+03
5,9538994400434200,240,953,694.620586544089
